rating,genre,score,votes,budget,gross,runtime,release_country,release_date,score_bin
6,4,-0.22717988118022914,-0.3614175656886582,-0.19691716112307164,-0.10129551802337128,-0.6341560055962333,36,1981-05-22,1
6,4,0.6940271161714491,-0.35651409179660815,-0.6861630492403497,-0.4140266864945697,-0.6883029952089071,36,1981-03-13,2
4,4,-2.0695938758835846,-0.37262550601334404,-0.1524402622033191,-0.42183401176731106,-1.5005078393990157,36,1981-12-18,0
6,1,-0.7389615463756057,-0.3759248434464234,-0.6861630492403497,-0.31551094478504654,-0.6341560055962333,36,1981-03-13,0
4,4,-1.3530995446100573,-0.37640118091022257,-0.5304939030212157,-0.2520824425664121,-0.3092740679201899,36,1981-05-15,0
6,6,0.4893144500932983,-0.37192500974305115,-0.6861630492403497,-0.42379973545646904,-0.6341560055962333,36,1981-09-18,1
6,4,1.0010961152886748,-0.3628185582292439,-0.10796336328356657,-0.3551919392901331,0.7195187347206142,36,1982-01-22,2
4,6,-3.7072952045087897,-0.37711568710592125,1.3597743010682675,-0.38828649629349604,1.856605516586766,36,1982-09-17,0
6,4,-0.8413178794146807,-0.3698235209321726,-0.06348646436381403,-0.39650949143731307,-1.0131849328849505,36,1981-03-06,0
4,1,-0.7389615463756057,-0.3740264985539297,-0.1524402622033191,-0.40479389273296795,-0.3092740679201899,36,1981-11-13,0
6,6,-0.9436742124537556,-0.3740264985539297,0.025467333475691065,-0.32606238499949247,0.5570777658825925,36,1981-12-11,0
6,4,0.1822454509760725,-0.37262550601334404,-0.6861630492403497,-0.16446909000368196,0.7736657243332882,36,1981-09-25,1
4,0,-1.1483868785319065,-0.37523135213883346,0.3812825248337114,-0.4234853923434743,0.06975485936852742,36,1981-08-21,0
4,4,-1.4554558776491322,-0.3752873918404569,-0.6861630492403497,-0.23809883235992546,-0.6341560055962333,36,1981-10-02,0
4,0,-0.8413178794146807,-0.3790420518492266,-0.5972092514008446,-0.42583762458913366,-0.8507439640469289,36,1981-05-01,0
6,10,-3.502582538430639,-0.37701061266537733,-0.6861630492403497,-0.3151934410612955,-1.28391988094832,36,1981-01-01,0
4,4,-1.3530995446100573,-0.3733260022836369,-0.6861630492403497,-0.2693614795462576,-0.5258620263708855,36,1981-03-06,0
6,5,-0.5342488802974549,-0.37625407669346106,-0.6861630492403497,-0.3696629883582849,0.34048980743189694,36,1982-02-12,0
8,4,-1.2507432115709824,-0.38102445629415543,-0.6861630492403497,-0.3151934410612955,-0.3092740679201899,36,1986-02-14,0
6,16,-1.2507432115709824,-0.37823648113838987,-0.6861630492403497,-0.3134118036766786,-0.796596974434255,36,1981-07-24,0
3,1,0.5916707831323742,-0.3740264985539297,-0.6861630492403497,-0.4453743508064736,1.2609886308473532,9,1982-03-24,2
4,6,-0.02246721510207831,-0.3801348260308835,-0.6861630492403497,-0.42769048033528845,-0.6341560055962333,4,1981-10-23,1
6,4,0.8987397822495999,0.30475438735985494,-0.4860170041014632,-0.14720023966129162,-0.8507439640469289,36,1982-08-13,2
6,0,1.8199467796012774,4.59179156155218,0.5591901205127215,0.013407220093061141,0.6112247554952664,36,1982-06-25,2
6,10,1.8199467796012774,2.294163794991587,-0.019009565444061478,-0.22936320156904066,0.1780488385938752,36,1982-06-25,2
6,0,0.5916707831323742,0.6059677835857862,0.20337492915470123,0.31266967158395237,1.2609886308473532,36,1982-05-14,2
4,7,1.5128777804840514,2.2871588322886587,-0.2191556105829479,8.286428951464972,0.5029307762699187,36,1982-06-11,2
6,0,1.4105214474449765,1.2574293149581492,-0.019009565444061478,0.9333544755598792,-0.6883029952089071,36,1982-10-22,2
6,6,0.6940271161714491,-0.017473896974862253,-0.35258630734220553,0.9838212800289475,0.9902536827839837,36,1982-08-13,2
4,4,-1.9672375428445088,-0.14356322562757767,-0.09906798349961606,-0.2784856672337158,0.5029307762699187,36,1982-06-11,0
4,4,0.28460178401514746,-0.09452848670707723,1.5376818967472776,0.1828576172278804,1.1526946516220054,36,1982-06-18,1
4,10,1.0010961152886748,0.6550025225062867,-0.21026023079899742,0.4039740228307326,0.4487837866572447,36,1982-06-04,2
6,0,0.5916707831323742,0.12963031978663908,-0.1524402622033191,0.42298305920273316,-0.5258620263708855,36,1982-12-08,2
4,0,1.4105214474449765,0.4238387533096417,-0.18802178133912115,0.4234726234925376,0.39463679704457083,36,1982-06-04,2
6,1,-1.4554558776491322,-0.36421955076982965,-0.6861630492403497,-0.3840156631929173,-0.3092740679201899,36,1982-05-07,0
